case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition
2,Release Purchase Order,2011-06-15 22:09:06.837170+00:00,Immanuel Karagianni,complete
2,Approve Purchase Order for payment,2011-06-16 02:36:24.795846+00:00,Magdalena Predutta,start
2,Approve Purchase Order for payment,2011-06-16 02:37:24.795846+00:00,Magdalena Predutta,complete
2,Send Invoice,2011-06-22 04:43:55.695038+00:00,Carmen Finacse,start
2,Send Invoice,2011-06-22 04:43:55.695038+00:00,Carmen Finacse,complete
2,Release Supplier's Invoice,2011-06-22 18:58:42.942676+00:00,Karalda Nimwada,start
2,Authorize Supplier's Invoice payment,2011-06-22 19:02:05.643695+00:00,Karalda Nimwada,complete
2,Authorize Supplier's Invoice payment,2011-06-22 19:02:05.643695+00:00,Karalda Nimwada,start
2,Release Supplier's Invoice,2011-06-22 19:02:05.643695+00:00,Karalda Nimwada,complete
2,Pay Invoice,2011-06-22 19:45:11.679631+00:00,Karalda Nimwada,start
2,Pay Invoice,2011-06-22 19:59:04.513130+00:00,Karalda Nimwada,complete
3,Create Purchase Requisition,2011-06-06 05:52:55.742778+00:00,Anna Kaufmann,start
3,Create Purchase Requisition,2011-06-06 07:05:33.322342+00:00,Anna Kaufmann,complete
3,Analyze Purchase Requisition,2011-06-06 19:24:00.593317+00:00,Francis Odell,start
3,Analyze Purchase Requisition,2011-06-06 19:35:08.802379+00:00,Francis Odell,complete
4,Create Purchase Requisition,2011-06-06 05:58:58.028106+00:00,Anne Olwada,start
4,Create Purchase Requisition,2011-06-06 06:34:18.326840+00:00,Anne Olwada,complete
4,Analyze Purchase Requisition,2011-06-06 22:13:34.696923+00:00,Heinz Gutschmidt,start
4,Analyze Purchase Requisition,2011-06-06 22:27:12.446798+00:00,Heinz Gutschmidt,complete
5,Create Purchase Requisition,2011-06-06 13:46:12.066127+00:00,Nico Ojenbeer,start
5,Create Purchase Requisition,2011-06-06 14:05:21.578416+00:00,Nico Ojenbeer,complete
5,Analyze Purchase Requisition,2011-06-07 07:10:55.729214+00:00,Francis Odell,start
5,Analyze Purchase Requisition,2011-06-07 07:20:07.084775+00:00,Francis Odell,complete
5,Create Request for Quotation,2011-06-07 07:28:07.084775+00:00,Heinz Gutschmidt,start
5,Create Request for Quotation,2011-06-07 07:40:33.276541+00:00,Heinz Gutschmidt,complete
5,Analyze Request for Quotation,2011-06-08 18:23:09.751588+00:00,Francois de Perrier,start
5,Analyze Request for Quotation,2011-06-08 18:36:08.280973+00:00,Francois de Perrier,complete
5,Send Request for Quotation to Supplier,2011-06-09 20:29:09.197561+00:00,Magdalena Predutta,start
5,Send Request for Quotation to Supplier,2011-06-09 21:00:50.242414+00:00,Magdalena Predutta,complete
5,Create Quotation comparison Map,2011-06-09 21:26:44.969598+00:00,Magdalena Predutta,start
5,Create Quotation comparison Map,2011-06-10 02:07:49.773478+00:00,Magdalena Predutta,complete
5,Analyze Quotation Comparison Map,2011-06-10 09:37:53.569984+00:00,Nico Ojenbeer,start
5,Analyze Quotation Comparison Map,2011-06-10 12:05:50.668136+00:00,Nico Ojenbeer,complete
5,Choose best option,2011-06-10 12:05:50.668136+00:00,Immanuel Karagianni,start
5,Choose best option,2011-06-10 12:05:50.668136+00:00,Immanuel Karagianni,complete
5,Settle Conditions With Supplier,2011-06-11 00:42:47.109306+00:00,Magdalena Predutta,start
5,Settle Conditions With Supplier,2011-06-11 04:39:56.845931+00:00,Magdalena Predutta,complete
5,Create Purchase Order,2011-06-11 06:45:53.886799+00:00,Magdalena Predutta,start
5,Create Purchase Order,2011-06-11 06:56:12.802840+00:00,Magdalena Predutta,complete
5,Confirm Purchase Order,2011-06-11 20:00:22.502209+00:00,Esmeralda Clay,start
5,Confirm Purchase Order,2011-06-11 20:19:20.523733+00:00,Esmeralda Clay,complete
5,Deliver Goods Services,2011-06-15 19:13:42.067525+00:00,Sean Manney,start
5,Deliver Goods Services,2011-06-17 00:53:05.675069+00:00,Sean Manney,complete
5,Release Purchase Order,2011-06-17 08:02:11.802231+00:00,Immanuel Karagianni,start
5,Release Purchase Order,2011-06-17 08:03:11.802231+00:00,Immanuel Karagianni,complete
5,Approve Purchase Order for payment,2011-06-18 01:22:26.123790+00:00,Magdalena Predutta,start
5,Approve Purchase Order for payment,2011-06-18 01:23:26.123790+00:00,Magdalena Predutta,complete
5,Send Invoice,2011-06-18 07:17:46.914375+00:00,Carmen Finacse,complete
5,Send Invoice,2011-06-18 07:17:46.914375+00:00,Carmen Finacse,start
5,Release Supplier's Invoice,2011-06-18 22:41:24.024853+00:00,Karalda Nimwada,start
5,Release Supplier's Invoice,2011-06-18 22:47:13.145412+00:00,Karalda Nimwada,complete
5,Authorize Supplier's Invoice payment,2011-06-18 22:55:17.687552+00:00,Karalda Nimwada,start
5,Authorize Supplier's Invoice payment,2011-06-18 22:55:17.687552+00:00,Karalda Nimwada,complete
5,Pay Invoice,2011-06-18 22:58:44.429687+00:00,Karalda Nimwada,start
5,Pay Invoice,2011-06-18 23:11:59.724285+00:00,Karalda Nimwada,complete
6,Create Purchase Requisition,2011-06-07 18:10:28.256603+00:00,Nico Ojenbeer,start
6,Create Purchase Requisition,2011-06-07 18:25:50.182681+00:00,Nico Ojenbeer,complete
6,Analyze Purchase Requisition,2011-06-08 14:15:01.565783+00:00,Heinz Gutschmidt,start
6,Analyze Purchase Requisition,2011-06-08 14:19:49.791207+00:00,Heinz Gutschmidt,complete
6,Create Request for Quotation,2011-06-08 14:27:49.791207+00:00,Francis Odell,start
6,Create Request for Quotation,2011-06-08 14:29:00.128012+00:00,Francis Odell,complete
6,Analyze Request for Quotation,2011-06-10 21:12:27.017002+00:00,Magdalena Predutta,start
6,Analyze Request for Quotation,2011-06-10 21:29:20.894678+00:00,Magdalena Predutta,complete
6,Amend Request for Quotation,2011-06-10 23:05:55.403853+00:00,Maris Freeman,start
6,Amend Request for Quotation,2011-06-10 23:11:56.901237+00:00,Maris Freeman,complete
6,Analyze Request for Quotation,2011-06-11 04:15:38.858481+00:00,Karel de Groot,start
6,Analyze Request for Quotation,2011-06-11 04:47:48.316705+00:00,Karel de Groot,complete
6,Send Request for Quotation to Supplier,2011-06-11 10:40:17.861551+00:00,Magdalena Predutta,start
6,Send Request for Quotation to Supplier,2011-06-11 10:59:34.100911+00:00,Magdalena Predutta,complete
6,Create Quotation comparison Map,2011-06-11 11:24:04.256188+00:00,Magdalena Predutta,start
6,Create Quotation comparison Map,2011-06-11 12:05:15.905467+00:00,Magdalena Predutta,complete
6,Analyze Quotation Comparison Map,2011-06-11 21:30:59.974996+00:00,Nico Ojenbeer,start
6,Analyze Quotation Comparison Map,2011-06-12 01:03:53.333805+00:00,Nico Ojenbeer,complete
6,Choose best option,2011-06-12 01:03:53.333805+00:00,Immanuel Karagianni,start
6,Choose best option,2011-06-12 01:03:53.333805+00:00,Immanuel Karagianni,complete
6,Settle Conditions With Supplier,2011-06-12 06:54:15.139448+00:00,Magdalena Predutta,start
6,Settle Conditions With Supplier,2011-06-12 17:17:04.430249+00:00,Magdalena Predutta,complete
6,Create Purchase Order,2011-06-13 07:28:06.897870+00:00,Magdalena Predutta,start
6,Create Purchase Order,2011-06-13 07:40:37.228353+00:00,Magdalena Predutta,complete
6,Confirm Purchase Order,2011-06-14 07:54:06.611669+00:00,Esmeralda Clay,start
6,Confirm Purchase Order,2011-06-14 08:25:32.453835+00:00,Esmeralda Clay,complete
6,Deliver Goods Services,2011-06-23 19:13:37.234526+00:00,Sean Manney,start
6,Deliver Goods Services,2011-06-24 06:08:23.210006+00:00,Sean Manney,complete
6,Release Purchase Order,2011-06-24 18:27:20.557829+00:00,Immanuel Karagianni,start
6,Release Purchase Order,2011-06-24 18:28:20.557829+00:00,Immanuel Karagianni,complete
6,Approve Purchase Order for payment,2011-06-25 14:51:23.990530+00:00,Magdalena Predutta,start
6,Approve Purchase Order for payment,2011-06-25 14:52:23.990530+00:00,Magdalena Predutta,complete
6,Send Invoice,2011-06-27 17:36:01.313269+00:00,Carmen Finacse,complete
6,Send Invoice,2011-06-27 17:36:01.313269+00:00,Carmen Finacse,start
6,Authorize Supplier's Invoice payment,2011-06-28 09:02:01.313269+00:00,Karalda Nimwada,complete
6,Authorize Supplier's Invoice payment,2011-06-28 09:02:01.313269+00:00,Karalda Nimwada,start
6,Pay Invoice,2011-06-28 09:32:57.672296+00:00,Karalda Nimwada,start
6,Pay Invoice,2011-06-28 09:46:04.554381+00:00,Karalda Nimwada,complete
7,Create Purchase Requisition,2011-06-07 18:32:23.966097+00:00,Anne Olwada,start
7,Create Purchase Requisition,2011-06-07 19:19:51.486509+00:00,Anne Olwada,complete
7,Analyze Purchase Requisition,2011-06-08 14:59:45.341967+00:00,Heinz Gutschmidt,start
7,Analyze Purchase Requisition,2011-06-08 15:12:03.311520+00:00,Heinz Gutschmidt,complete
7,Create Request for Quotation,2011-06-08 15:18:21.065119+00:00,Heinz Gutschmidt,start
7,Create Request for Quotation,2011-06-08 15:21:34.171561+00:00,Heinz Gutschmidt,complete
7,Analyze Request for Quotation,2011-06-09 12:33:01.033532+00:00,Karel de Groot,start
7,Analyze Request for Quotation,2011-06-09 13:07:42.721872+00:00,Karel de Groot,complete
7,Send Request for Quotation to Supplier,2011-06-10 15:28:53.856824+00:00,Karel de Groot,start
7,Send Request for Quotation to Supplier,2011-06-10 15:43:50.925135+00:00,Karel de Groot,complete
7,Create Quotation comparison Map,2011-06-10 16:02:24.823248+00:00,Magdalena Predutta,start
7,Create Quotation comparison Map,2011-06-10 20:19:04.397855+00:00,Magdalena Predutta,complete
7,Analyze Quotation Comparison Map,2011-06-11 03:18:12.031600+00:00,Tesca Lobes,start
7,Analyze Quotation Comparison Map,2011-06-11 04:19:52.752082+00:00,Nico Ojenbeer,complete
7,Choose best option,2011-06-11 04:19:52.752082+00:00,Immanuel Karagianni,start
7,Choose best option,2011-06-11 04:19:52.752082+00:00,Immanuel Karagianni,complete
7,Settle Conditions With Supplier,2011-06-11 07:18:23.958496+00:00,Magdalena Predutta,start
7,Settle Conditions With Supplier,2011-06-11 22:53:12.700683+00:00,Magdalena Predutta,complete
7,Create Purchase Order,2011-06-12 12:48:55.418393+00:00,Magdalena Predutta,start
7,Create Purchase Order,2011-06-12 13:00:23.008643+00:00,Magdalena Predutta,complete
7,Confirm Purchase Order,2011-06-19 23:13:51.484187+00:00,Esmeralda Clay,start
7,Confirm Purchase Order,2011-06-19 23:41:23.004461+00:00,Esmeralda Clay,complete
7,Deliver Goods Services,2011-06-28 00:58:17.074482+00:00,Sean Manney,start
7,Deliver Goods Services,2011-06-28 11:35:07.952046+00:00,Sean Manney,complete
7,Release Purchase Order,2011-06-28 20:48:13.303385+00:00,Immanuel Karagianni,start
7,Release Purchase Order,2011-06-28 20:49:13.303385+00:00,Immanuel Karagianni,complete
7,Approve Purchase Order for payment,2011-06-29 12:02:38.065338+00:00,Magdalena Predutta,start
7,Approve Purchase Order for payment,2011-06-29 12:03:38.065338+00:00,Magdalena Predutta,complete
7,Send Invoice,2011-07-05 14:48:03.813000+00:00,Carmen Finacse,start
7,Send Invoice,2011-07-05 14:48:03.813000+00:00,Carmen Finacse,complete
7,Release Supplier's Invoice,2011-07-06 02:51:41.762542+00:00,Karalda Nimwada,start
7,Authorize Supplier's Invoice payment,2011-07-06 02:53:59.398264+00:00,Karalda Nimwada,complete
7,Authorize Supplier's Invoice payment,2011-07-06 02:53:59.398264+00:00,Karalda Nimwada,start
7,Release Supplier's Invoice,2011-07-06 02:53:59.398264+00:00,Karalda Nimwada,complete
7,Pay Invoice,2011-07-06 04:21:29.571415+00:00,Karalda Nimwada,start
7,Pay Invoice,2011-07-06 04:35:09.949746+00:00,Karalda Nimwada,complete
8,Create Purchase Requisition,2011-06-07 19:51:18.997781+00:00,Penn Osterwalder,start
8,Create Purchase Requisition,2011-06-07 20:03:27.705136+00:00,Penn Osterwalder,complete
8,Create Request for Quotation,2011-06-07 22:48:54.740514+00:00,Esmana Liubiata,start
8,Create Request for Quotation,2011-06-07 22:54:43.330600+00:00,Esmana Liubiata,complete
8,Analyze Request for Quotation,2011-06-08 10:59:10.238681+00:00,Francois de Perrier,start
8,Analyze Request for Quotation,2011-06-08 11:12:55.497490+00:00,Francois de Perrier,complete
9,Create Purchase Requisition,2011-06-08 04:13:51.566174+00:00,Anne Olwada,start
9,Create Purchase Requisition,2011-06-08 05:17:21.431204+00:00,Anne Olwada,complete
9,Create Request for Quotation,2011-06-08 05:17:21.431204+00:00,Penn Osterwalder,start
9,Create Request for Quotation,2011-06-08 05:18:36.889015+00:00,Penn Osterwalder,complete
9,Analyze Request for Quotation,2011-06-09 07:52:49.569248+00:00,Magdalena Predutta,start
9,Analyze Request for Quotation,2011-06-09 08:24:40.674867+00:00,Magdalena Predutta,complete
9,Send Request for Quotation to Supplier,2011-06-09 13:29:53.156565+00:00,Magdalena Predutta,start
9,Send Request for Quotation to Supplier,2011-06-09 14:15:34.382314+00:00,Magdalena Predutta,complete
9,Create Quotation comparison Map,2011-06-09 19:33:00.265448+00:00,Francois de Perrier,start
9,Create Quotation comparison Map,2011-06-09 20:33:46.671999+00:00,Francois de Perrier,complete
9,Analyze Quotation Comparison Map,2011-06-10 02:40:12.706174+00:00,Christian Francois,start
9,Choose best option,2011-06-10 03:01:26.090469+00:00,Immanuel Karagianni,complete
9,Analyze Quotation Comparison Map,2011-06-10 03:01:26.090469+00:00,Nico Ojenbeer,complete
9,Choose best option,2011-06-10 03:01:26.090469+00:00,Immanuel Karagianni,start
9,Settle Conditions With Supplier,2011-06-10 08:29:59.229063+00:00,Magdalena Predutta,start
9,Settle Conditions With Supplier,2011-06-10 22:26:45.529287+00:00,Magdalena Predutta,complete
9,Create Purchase Order,2011-06-11 02:50:07.248933+00:00,Magdalena Predutta,start
9,Create Purchase Order,2011-06-11 03:02:42.984730+00:00,Magdalena Predutta,complete
9,Confirm Purchase Order,2011-06-11 23:47:43.734137+00:00,Esmeralda Clay,start
9,Confirm Purchase Order,2011-06-12 01:11:51.447606+00:00,Esmeralda Clay,complete
9,Deliver Goods Services,2011-06-13 02:30:46.730770+00:00,Sean Manney,start
9,Deliver Goods Services,2011-06-14 11:43:46.536175+00:00,Sean Manney,complete
9,Release Purchase Order,2011-06-14 20:50:35.632145+00:00,Immanuel Karagianni,start
9,Release Purchase Order,2011-06-14 20:51:35.632145+00:00,Immanuel Karagianni,complete
9,Approve Purchase Order for payment,2011-06-15 13:54:57.044247+00:00,Magdalena Predutta,start
9,Approve Purchase Order for payment,2011-06-15 13:55:57.044247+00:00,Magdalena Predutta,complete
9,Send Invoice,2011-06-16 12:17:30.900551+00:00,Carmen Finacse,complete
9,Send Invoice,2011-06-16 12:17:30.900551+00:00,Carmen Finacse,start
9,Release Supplier's Invoice,2011-06-17 03:37:13.874693+00:00,Karalda Nimwada,start
9,Authorize Supplier's Invoice payment,2011-06-17 03:44:03.629945+00:00,Karalda Nimwada,complete
9,Authorize Supplier's Invoice payment,2011-06-17 03:44:03.629945+00:00,Karalda Nimwada,start
9,Release Supplier's Invoice,2011-06-17 03:44:03.629945+00:00,Karalda Nimwada,complete
9,Pay Invoice,2011-06-17 04:32:55.586466+00:00,Karalda Nimwada,start
9,Pay Invoice,2011-06-17 04:45:31.972103+00:00,Karalda Nimwada,complete
10,Create Purchase Requisition,2011-06-08 08:01:36.646626+00:00,Anna Kaufmann,start
10,Create Purchase Requisition,2011-06-08 11:37:18.711522+00:00,Anna Kaufmann,complete
10,Analyze Purchase Requisition,2011-06-09 06:49:30.593450+00:00,Francis Odell,start
10,Analyze Purchase Requisition,2011-06-09 06:54:12.202287+00:00,Francis Odell,complete
10,Create Request for Quotation,2011-06-09 06:59:27.793476+00:00,Heinz Gutschmidt,start
10,Create Request for Quotation,2011-06-09 07:01:43.040344+00:00,Heinz Gutschmidt,complete
10,Analyze Request for Quotation,2011-06-09 17:48:40.522807+00:00,Francois de Perrier,start
10,Analyze Request for Quotation,2011-06-09 17:57:44.881531+00:00,Francois de Perrier,complete
10,Send Request for Quotation to Supplier,2011-06-09 18:52:55.566538+00:00,Karel de Groot,start
10,Send Request for Quotation to Supplier,2011-06-09 19:02:02.121801+00:00,Karel de Groot,complete
10,Create Quotation comparison Map,2011-06-09 20:44:31.220946+00:00,Francois de Perrier,start
10,Create Quotation comparison Map,2011-06-10 01:17:32.885558+00:00,Francois de Perrier,complete
10,Analyze Quotation Comparison Map,2011-06-10 11:58:09.070757+00:00,Tesca Lobes,start
10,Choose best option,2011-06-10 14:29:01.235632+00:00,Anne Olwada,complete
10,Choose best option,2011-06-10 14:29:01.235632+00:00,Immanuel Karagianni,start
10,Analyze Quotation Comparison Map,2011-06-10 14:29:01.235632+00:00,Nico Ojenbeer,complete
10,Settle Conditions With Supplier,2011-06-11 04:04:14.927647+00:00,Magdalena Predutta,start
10,Settle Conditions With Supplier,2011-06-11 15:48:03.295644+00:00,Magdalena Predutta,complete
10,Create Purchase Order,2011-06-12 17:10:08.954624+00:00,Magdalena Predutta,start
10,Create Purchase Order,2011-06-12 17:22:37.450595+00:00,Magdalena Predutta,complete
10,Confirm Purchase Order,2011-06-13 23:34:13.936698+00:00,Esmeralda Clay,start
10,Confirm Purchase Order,2011-06-13 23:58:31.248731+00:00,Esmeralda Clay,complete
10,Deliver Goods Services,2011-06-14 22:10:16.502709+00:00,Sean Manney,start
10,Deliver Goods Services,2011-06-16 07:43:13.138934+00:00,Sean Manney,complete
10,Release Purchase Order,2011-06-16 15:11:33.684454+00:00,Immanuel Karagianni,start
10,Release Purchase Order,2011-06-16 15:12:33.684454+00:00,Immanuel Karagianni,complete
10,Approve Purchase Order for payment,2011-06-16 23:13:09.495169+00:00,Magdalena Predutta,start
10,Approve Purchase Order for payment,2011-06-16 23:14:09.495169+00:00,Magdalena Predutta,complete
10,Send Invoice,2011-06-20 12:04:39.262844+00:00,Carmen Finacse,complete
10,Send Invoice,2011-06-20 12:04:39.262844+00:00,Carmen Finacse,start
10,Release Supplier's Invoice,2011-06-21 03:10:06.482881+00:00,Karalda Nimwada,start
10,Authorize Supplier's Invoice payment,2011-06-21 03:12:53.475271+00:00,Karalda Nimwada,start
10,Release Supplier's Invoice,2011-06-21 03:12:53.475271+00:00,Karalda Nimwada,complete
10,Authorize Supplier's Invoice payment,2011-06-21 03:13:04.014410+00:00,Karalda Nimwada,complete
10,Pay Invoice,2011-06-21 05:06:56.724972+00:00,Karalda Nimwada,start
10,Pay Invoice,2011-06-21 05:11:52.161778+00:00,Karalda Nimwada,complete
11,Create Purchase Requisition,2011-06-08 09:28:00.049347+00:00,Penn Osterwalder,start
11,Create Purchase Requisition,2011-06-08 10:23:18.936507+00:00,Penn Osterwalder,complete
11,Create Request for Quotation,2011-06-08 10:51:06.150251+00:00,Penn Osterwalder,start
11,Create Request for Quotation,2011-06-08 12:03:16.834320+00:00,Penn Osterwalder,complete
11,Analyze Request for Quotation,2011-06-21 15:27:24.798808+00:00,Karel de Groot,start
11,Analyze Request for Quotation,2011-06-21 15:27:24.798808+00:00,Karel de Groot,complete
11,Send Request for Quotation to Supplier,2011-06-22 07:31:33.879207+00:00,Karel de Groot,start
11,Send Request for Quotation to Supplier,2011-06-22 07:49:53.284970+00:00,Karel de Groot,complete
11,Create Quotation comparison Map,2011-06-23 03:46:04.154141+00:00,Karel de Groot,start
11,Create Quotation comparison Map,2011-06-23 07:03:22.876891+00:00,Karel de Groot,complete
11,Analyze Quotation Comparison Map,2011-06-23 12:33:45.679019+00:00,Esmana Liubiata,start
11,Choose best option,2011-06-23 12:39:46.034150+00:00,Immanuel Karagianni,start
11,Choose best option,2011-06-23 12:39:46.034150+00:00,Immanuel Karagianni,complete
11,Analyze Quotation Comparison Map,2011-06-23 12:39:46.034150+00:00,Nico Ojenbeer,complete
11,Settle Conditions With Supplier,2011-06-24 20:48:40.171177+00:00,Magdalena Predutta,start
11,Settle Conditions With Supplier,2011-06-25 11:10:44.742764+00:00,Magdalena Predutta,complete
11,Create Purchase Order,2011-06-27 00:16:01.466005+00:00,Magdalena Predutta,start
11,Create Purchase Order,2011-06-27 00:26:07.090351+00:00,Magdalena Predutta,complete
11,Confirm Purchase Order,2011-06-27 12:45:01.452803+00:00,Esmeralda Clay,start
11,Confirm Purchase Order,2011-06-27 15:07:42.815060+00:00,Esmeralda Clay,complete
11,Deliver Goods Services,2011-06-28 18:06:25.046050+00:00,Sean Manney,start
11,Deliver Goods Services,2011-06-29 16:43:23.604863+00:00,Sean Manney,complete
11,Release Purchase Order,2011-06-30 01:24:49.080330+00:00,Immanuel Karagianni,start
11,Release Purchase Order,2011-06-30 01:25:49.080330+00:00,Immanuel Karagianni,complete
11,Settle Dispute With Supplier,2011-06-30 13:50:27.791174+00:00,Pedro Alvares,start
11,Settle Dispute With Supplier,2011-06-30 14:04:05.086066+00:00,Pedro Alvares,complete
11,Release Purchase Order,2011-06-30 22:39:45.667036+00:00,Immanuel Karagianni,start
11,Release Purchase Order,2011-06-30 22:40:45.667036+00:00,Immanuel Karagianni,complete
11,Approve Purchase Order for payment,2011-07-01 18:55:26.105707+00:00,Magdalena Predutta,start
11,Approve Purchase Order for payment,2011-07-01 18:56:26.105707+00:00,Magdalena Predutta,complete
11,Send Invoice,2011-07-03 10:44:31.931695+00:00,Carmen Finacse,complete
11,Send Invoice,2011-07-03 10:44:31.931695+00:00,Carmen Finacse,start
11,Release Supplier's Invoice,2011-07-03 23:57:58.756884+00:00,Karalda Nimwada,start
11,Authorize Supplier's Invoice payment,2011-07-04 00:04:52.095474+00:00,Karalda Nimwada,complete
11,Release Supplier's Invoice,2011-07-04 00:04:52.095474+00:00,Karalda Nimwada,complete
11,Authorize Supplier's Invoice payment,2011-07-04 00:12:08.476641+00:00,Karalda Nimwada,start
11,Pay Invoice,2011-07-04 01:15:35.360778+00:00,Karalda Nimwada,start
11,Pay Invoice,2011-07-04 01:19:41.452950+00:00,Karalda Nimwada,complete
12,Create Purchase Requisition,2011-06-08 18:37:54.423413+00:00,Tesca Lobes,start
12,Create Purchase Requisition,2011-06-08 20:17:39.531660+00:00,Tesca Lobes,complete
12,Create Request for Quotation,2011-06-09 02:36:45.219868+00:00,Anna Kaufmann,start
12,Create Request for Quotation,2011-06-09 02:40:33.173979+00:00,Anna Kaufmann,complete
12,Analyze Request for Quotation,2011-06-09 20:15:45.639607+00:00,Karel de Groot,start
12,Analyze Request for Quotation,2011-06-09 20:16:47.505585+00:00,Karel de Groot,complete
13,Create Purchase Requisition,2011-06-08 21:59:52.254990+00:00,Esmana Liubiata,start
13,Create Purchase Requisition,2011-06-08 23:49:22.518039+00:00,Esmana Liubiata,complete
13,Create Request for Quotation,2011-06-09 01:25:35.885348+00:00,Anne Olwada,start
13,Create Request for Quotation,2011-06-09 01:29:05.187364+00:00,Anne Olwada,complete
13,Analyze Request for Quotation,2011-06-09 03:49:36.343516+00:00,Francois de Perrier,start
13,Analyze Request for Quotation,2011-06-09 04:18:46.926217+00:00,Francois de Perrier,complete
13,Amend Request for Quotation,2011-06-09 05:04:08.633057+00:00,Miu Hanwan,start
13,Amend Request for Quotation,2011-06-09 05:23:37.792353+00:00,Miu Hanwan,complete
13,Analyze Request for Quotation,2011-06-19 10:52:00.131362+00:00,Karel de Groot,start
13,Analyze Request for Quotation,2011-06-19 11:12:43.159614+00:00,Karel de Groot,complete
13,Amend Request for Quotation,2011-06-19 12:34:22.656079+00:00,Maris Freeman,start
13,Amend Request for Quotation,2011-06-19 12:48:57.375781+00:00,Maris Freeman,complete
13,Analyze Request for Quotation,2011-06-21 00:49:55.668938+00:00,Karel de Groot,start
13,Analyze Request for Quotation,2011-06-21 01:12:46.708192+00:00,Karel de Groot,complete
13,Send Request for Quotation to Supplier,2011-06-21 11:25:22.864454+00:00,Magdalena Predutta,start
13,Send Request for Quotation to Supplier,2011-06-21 11:49:19.165834+00:00,Magdalena Predutta,complete
13,Create Quotation comparison Map,2011-06-21 14:09:42.220168+00:00,Magdalena Predutta,start
